Book,Author(s),Original language,First published,Approximate sales in millions,Genre,Id
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction,1
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,Novella,2
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,Fantasy,3
And Then There Were None,Agatha Christie,English,1939,100,Mystery,4
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga,5
The Hobbit,J. R. R. Tolkien,English,1937,100,Fantasy,6
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,"Fantasy, Children's fiction",7
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure,8
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80,Detective,9
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller,10
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy,11
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy,12
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy,13
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy,14
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy,15
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy,16
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy,17
The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age,18
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance,19
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50,Historical fiction,20
You Can Heal Your Life,Louise Hay,English,1984,50,Self-help,21
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism,22
Lolita,Vladimir Nabokov,English,1955,50,Novel,23
Heidi,Johanna Spyri,German,1880,50,Children's fiction,24
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual,25
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel,26
Black Beauty,Anna Sewell,English,1877,50,Children's literature,27
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery",28
The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller",29
Watership Down,Richard Adams,English,1972,50,Fantasy,30
The Hite Report,Shere Hite,English,1976,50,Sexology,31
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's fiction,32
The Ginger Man,J. P. Donleavy,English,1955,50,Novel,33
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Literature,34
Jonathan Livingston Seagull,Richard Bach,English,1970,44,"Novella, Self-help",35
The Very Hungry Caterpillar,Eric Carle,English,1969,43,"Children's Literature, picture book",36
A Message to Garcia,Elbert Hubbard,English,1899,40,Essay/Literature,37
To Kill a Mockingbird,Harper Lee,English,1960,40,"Southern Gothic, Bildungsroman",38
Flowers in the Attic,V. C. Andrews,English,1979,40,"Gothic horror, Family saga",39
Cosmos,Carl Sagan,English,1980,40,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History",40
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,"Philosophical novel, Young adult",41
Angels & Demons,Dan Brown,English,2000,39,Mystery-thriller,42
Kane and Abel,Jeffrey Archer,English,1979,37,Novel,43
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4,Socialist realist novel,44
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36,Historical novel,45
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction",46
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature",47
Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help,48
The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga,49
The Purpose Driven Life,Rick Warren,English,2002,33,Christian literature,50
The Kite Runner,Khaled Hosseini,English,2003,31.5,"Bildungsroman, Historical fiction",51
Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel,52
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30,Self-help,53
How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help,54
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy",55
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction,56
Rebecca,Daphne du Maurier,English,1938,30,Gothic novel,57
Nineteen Eighty-Four,George Orwell,English,1949,30,"Dystopian, political fiction, social science fiction",58
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction,59
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction,60
